Lugar,Magnitud,Profundidad_km,Latitud,Longitud,Alerta,Tsunami,Anio,Mes,Dia,Hora,lat_grid,lon_grid,cuadrante,Fecha
"136 km S of Olhão, Portugal",3.5,33.0,35.809,-7.657,0,0,1995,2,6,4,35,-8,"35,-8",1995-02-06
"8 km ENE of Aïn el Bya, Algeria",3.6,10.0,35.837,-0.221,0,0,1995,1,31,15,35,-1,"35,-1",1995-01-31
"43 km NW of ’Aïn el Turk, Algeria",3.5,33.0,36.045,-1.075,0,0,1995,1,27,23,36,-2,"36,-2",1995-01-27
"51 km SSE of Olhão, Portugal",3.6,10.0,36.572,-7.72,0,0,1995,1,8,14,36,-8,"36,-8",1995-01-08
"19 km SSW of El Affroun, Algeria",3.7,10.0,36.312,2.525,0,0,1994,12,31,19,36,2,"36,2",1994-12-31
"56 km WNW of Sagres, Portugal",3.8,10.0,37.167,-9.548,0,0,1994,12,30,17,37,-10,"37,-10",1994-12-30
"27 km SW of Sagres, Portugal",3.7,10.0,36.854,-9.179,0,0,1994,12,27,2,36,-10,"36,-10",1994-12-27
"67 km S of Faro, Portugal",3.6,10.0,36.408,-7.96,0,0,1994,12,26,17,36,-8,"36,-8",1994-12-26
"85 km SSW of Sagres, Portugal",3.8,18.9,36.275,-9.225,0,0,1994,12,17,18,36,-10,"36,-10",1994-12-17
"83 km S of Sagres, Portugal",3.8,24.6,36.27,-9.116,0,0,1994,12,17,18,36,-10,"36,-10",1994-12-17
"5 km S of Gor, Spain",3.5,17.2,37.317,-2.978,0,0,1994,12,3,18,37,-3,"37,-3",1994-12-03
"6 km WSW of Turrillas, Spain",3.5,10.0,37.0,-2.332,0,0,1994,11,8,0,37,-3,"37,-3",1994-11-08
"25 km NNE of ’Aïn el Turk, Algeria",3.7,10.0,35.969,-0.699,0,0,1994,10,4,0,35,-1,"35,-1",1994-10-04
"26 km SSE of Canet de Mar, Spain",4.2,33.0,41.362,2.688,0,0,1994,9,26,5,41,2,"41,2",1994-09-26
"41 km SSE of Faro, Portugal",4.3,34.1,36.65,-7.824,0,0,1994,9,24,10,36,-8,"36,-8",1994-09-24
"0 km WNW of Sig, Algeria",3.5,10.0,35.532,-0.202,0,0,1994,9,19,23,35,-1,"35,-1",1994-09-19
"22 km SSE of Arenys de Mar, Spain",4.0,10.0,41.388,2.643,0,0,1994,9,17,22,41,2,"41,2",1994-09-17
Strait of Gibraltar,4.1,33.0,36.721,-7.824,0,0,1994,9,9,10,36,-8,"36,-8",1994-09-09
"2 km E of Zahara, Spain",3.7,18.7,36.839,-5.364,0,0,1994,9,6,2,36,-6,"36,-6",1994-09-06
"8 km NE of Sig, Algeria",3.7,10.0,35.58,-0.129,0,0,1994,8,28,6,35,-1,"35,-1",1994-08-28
"10 km NNE of Melouza, Algeria",4.0,10.0,36.065,4.249,0,0,1994,8,28,4,36,4,"36,4",1994-08-28
"6 km NE of Jumilla, Spain",3.5,10.0,38.518,-1.268,0,0,1994,8,25,5,38,-2,"38,-2",1994-08-25
"29 km N of ’Aïn el Turk, Algeria",3.7,10.0,36.01,-0.792,0,0,1994,8,22,16,36,-1,"36,-1",1994-08-22
"20 km NE of Sig, Algeria",3.6,10.0,35.637,-0.008,0,0,1994,8,22,6,35,-1,"35,-1",1994-08-22
"30 km NNE of Al Hoceïma, Morocco",3.5,10.0,35.502,-3.81,0,0,1994,8,20,14,35,-4,"35,-4",1994-08-20
"11 km SSE of Aïn el Bya, Algeria",3.5,10.0,35.706,-0.272,0,0,1994,8,18,17,35,-1,"35,-1",1994-08-18
"2 km ESE of Oran, Algeria",3.5,10.0,35.691,-0.606,0,0,1994,8,18,9,35,-1,"35,-1",1994-08-18
"5 km W of Ogeu-les-Bains, France",3.7,10.0,43.147,-0.576,0,0,1994,8,18,5,43,-1,"43,-1",1994-08-18
"21 km NNE of Mers el Kebir, Algeria",3.6,10.0,35.908,-0.634,0,0,1994,8,18,3,35,-1,"35,-1",1994-08-18
"3 km E of Sig, Algeria",3.6,10.0,35.532,-0.16,0,0,1994,8,18,1,35,-1,"35,-1",1994-08-18
"7 km E of Sig, Algeria",4.5,10.0,35.536,-0.112,0,0,1994,8,18,1,35,-1,"35,-1",1994-08-18
"8 km E of Sig, Algeria",5.9,8.7,35.52,-0.106,0,0,1994,8,18,1,35,-1,"35,-1",1994-08-18
"7 km ESE of Laruns, France",3.8,5.0,42.973,-0.34,0,0,1994,8,17,15,42,-1,"42,-1",1994-08-17
"9 km E of Laruns, France",3.8,5.0,42.991,-0.309,0,0,1994,8,17,14,42,-1,"42,-1",1994-08-17
"65 km SSE of Santa Luzia, Portugal",3.5,10.0,36.6,-7.267,0,0,1994,8,13,16,36,-8,"36,-8",1994-08-13
"181 km SSW of Sagres, Portugal",3.5,33.0,35.588,-9.949,0,0,1994,7,27,14,35,-10,"35,-10",1994-07-27
"13 km ENE of El Cerro de Andévalo, Spain",4.3,10.0,37.795,-6.806,0,0,1994,7,4,13,37,-7,"37,-7",1994-07-04
"4 km SSE of Tournay, France",3.6,10.0,43.149,0.265,0,0,1994,7,2,17,43,0,"43,0",1994-07-02
"36 km N of Tipasa, Algeria",3.8,10.0,36.921,2.443,0,0,1994,6,20,15,36,2,"36,2",1994-06-20
Spain,3.6,10.0,43.302,-3.749,0,0,1994,6,19,19,43,-4,"43,-4",1994-06-19
"12 km NNW of Espejo, Spain",3.5,10.0,37.792,-4.595,0,0,1994,5,30,14,37,-5,"37,-5",1994-05-30
"3 km NNE of Lézignan-Corbières, France",3.7,10.1,43.234,2.769,0,0,1994,5,25,3,43,2,"43,2",1994-05-25
"100 km WSW of Sagres, Portugal",3.6,10.0,36.677,-9.995,0,0,1994,5,22,17,36,-10,"36,-10",1994-05-22
"18 km WSW of Sagres, Portugal",3.7,10.0,36.95,-9.142,0,0,1994,5,9,4,36,-10,"36,-10",1994-05-09
"11 km SSW of Lakhdaria, Algeria",3.5,10.0,36.473,3.524,0,0,1994,4,28,2,36,3,"36,3",1994-04-28
"3 km NW of Huércal-Overa, Spain",3.7,10.0,37.413,-1.967,0,0,1994,4,19,23,37,-2,"37,-2",1994-04-19
"2 km NW of Antas, Spain",3.5,10.0,37.262,-1.94,0,0,1994,4,15,15,37,-2,"37,-2",1994-04-15
"5 km ESE of Burela de Cabo, Spain",4.0,29.0,43.63,-7.336,0,0,1994,4,15,13,43,-8,"43,-8",1994-04-15
"10 km NNE of Cervo, Spain",3.5,10.0,43.762,-7.384,0,0,1994,4,15,6,43,-8,"43,-8",1994-04-15
"46 km S of Olhão, Portugal",3.5,10.0,36.614,-7.773,0,0,1994,4,13,15,36,-8,"36,-8",1994-04-13
"5 km WSW of Valdemaluque, Spain",4.4,10.0,41.661,-3.111,0,0,1994,4,13,3,41,-4,"41,-4",1994-04-13
"5 km SE of Castell de Ferro, Spain",3.5,10.0,36.696,-3.303,0,0,1994,3,29,22,36,-4,"36,-4",1994-03-29
"24 km S of El Ejido, Spain",3.5,10.0,36.559,-2.816,0,0,1994,3,29,14,36,-3,"36,-3",1994-03-29
"4 km NE of Gerde, France",3.5,5.0,43.091,0.204,0,0,1994,3,3,4,43,0,"43,0",1994-03-03
"14 km SW of Abou el Hassan, Algeria",3.5,10.0,36.309,1.095,0,0,1994,3,2,22,36,1,"36,1",1994-03-02
"2 km SSW of Bosdarros, France",3.5,13.7,43.185,-0.37,0,0,1994,2,26,21,43,-1,"43,-1",1994-02-26
"23 km S of El Ejido, Spain",3.5,5.0,36.57,-2.843,0,0,1994,2,26,7,36,-3,"36,-3",1994-02-26
"5 km N of Arette, France",4.0,10.0,43.144,-0.729,0,0,1994,2,13,10,43,-1,"43,-1",1994-02-13
"0 km NW of Guadix, Spain",3.5,10.0,37.303,-3.143,0,0,1994,2,12,3,37,-4,"37,-4",1994-02-12
"2 km NNW of Quero, Spain",3.5,5.0,39.534,-3.259,0,0,1994,2,6,5,39,-4,"39,-4",1994-02-06
"20 km S of El Ejido, Spain",3.7,10.7,36.592,-2.79,0,0,1994,2,2,18,36,-3,"36,-3",1994-02-02
"67 km N of Cervo, Spain",3.7,10.0,44.276,-7.384,0,0,1994,1,27,8,44,-8,"44,-8",1994-01-27
"65 km N of Cervo, Spain",3.5,10.0,44.255,-7.383,0,0,1994,1,27,5,44,-8,"44,-8",1994-01-27
"14 km S of El Ejido, Spain",3.7,10.0,36.652,-2.845,0,0,1994,1,26,16,36,-3,"36,-3",1994-01-26
"3 km SSW of Arbatache, Algeria",3.6,10.0,36.609,3.357,0,0,1994,1,20,2,36,3,"36,3",1994-01-20
"19 km S of El Ejido, Spain",3.5,5.0,36.604,-2.821,0,0,1994,1,16,17,36,-3,"36,-3",1994-01-16
"4 km WNW of Santa Cristina d'Aro, Spain",3.5,25.8,41.831,2.951,0,0,1994,1,10,1,41,2,"41,2",1994-01-10
"1 km ENE of Chimeneas, Spain",3.5,16.4,37.135,-3.803,0,0,1994,1,8,22,37,-4,"37,-4",1994-01-08
"22 km S of El Ejido, Spain",3.5,5.0,36.573,-2.796,0,0,1994,1,4,8,36,-3,"36,-3",1994-01-04
"33 km S of El Ejido, Spain",3.6,5.0,36.477,-2.784,0,0,1994,1,4,8,36,-3,"36,-3",1994-01-04
"13 km S of El Ejido, Spain",4.9,22.2,36.651,-2.822,0,0,1994,1,4,8,36,-3,"36,-3",1994-01-04
"7 km SW of Dalías, Spain",3.7,8.4,36.772,-2.922,0,0,1994,1,3,1,36,-3,"36,-3",1994-01-03
"5 km SE of Adra, Spain",3.6,10.0,36.715,-2.979,0,0,1993,12,24,12,36,-3,"36,-3",1993-12-24
"7 km ENE of Adra, Spain",3.8,20.5,36.769,-2.94,0,0,1993,12,23,18,36,-3,"36,-3",1993-12-23
"7 km E of Adra, Spain",5.3,27.4,36.756,-2.937,0,0,1993,12,23,14,36,-3,"36,-3",1993-12-23
"5 km N of Arenas del Rey, Spain",3.6,9.7,37.004,-3.895,0,0,1993,12,22,20,37,-4,"37,-4",1993-12-22
"5 km ESE of Blida, Algeria",3.8,10.0,36.45,2.88,0,0,1993,12,18,16,36,2,"36,2",1993-12-18
Portugal,3.6,10.0,41.164,-7.746,0,0,1993,11,24,20,41,-8,"41,-8",1993-11-24
"0 km WNW of Tournay, France",3.8,17.6,43.187,0.233,0,0,1993,11,17,17,43,0,"43,0",1993-11-17
"40 km SSE of Villajoyosa, Spain",4.1,10.0,38.186,-0.022,0,0,1993,11,11,7,38,-1,"38,-1",1993-11-11
"44 km SSE of Olhão, Portugal",4.3,28.9,36.648,-7.695,0,0,1993,11,9,22,36,-8,"36,-8",1993-11-09
"22 km SE of Fuengirola, Spain",3.6,98.9,36.406,-4.443,0,0,1993,11,9,0,36,-5,"36,-5",1993-11-09
"9 km NNE of Cieza, Spain",3.5,10.0,38.318,-1.38,0,0,1993,10,19,18,38,-2,"38,-2",1993-10-19
"26 km WNW of Tipasa, Algeria",3.9,10.0,36.676,2.167,0,0,1993,10,15,8,36,2,"36,2",1993-10-15
"12 km ESE of Font-Romeu-Odeillo-Via, France",3.7,10.0,42.454,2.175,0,0,1993,10,8,22,42,2,"42,2",1993-10-08
"9 km WNW of Berrouaghia, Algeria",3.6,10.0,36.179,2.814,0,0,1993,8,23,17,36,2,"36,2",1993-08-23
"3 km NNE of Teruel, Spain",3.5,11.9,40.373,-1.094,0,0,1993,8,15,22,40,-2,"40,-2",1993-08-15
"3 km SSW of Vilela, Portugal",3.6,10.0,41.198,-7.619,0,0,1993,8,11,6,41,-8,"41,-8",1993-08-11
"10 km SSE of Güéjar-Sierra, Spain",3.9,626.2,37.072,-3.413,0,0,1993,7,31,7,37,-4,"37,-4",1993-07-31
"11 km ENE of Boca de Huérgano, Spain",3.5,10.0,43.018,-4.799,0,0,1993,6,28,3,43,-5,"43,-5",1993-06-28
"71 km SSW of Faro, Portugal",4.4,32.1,36.4,-8.133,0,0,1993,6,22,21,36,-9,"36,-9",1993-06-22
"18 km W of Espinho, Portugal",3.5,10.0,40.982,-8.858,0,0,1993,6,22,5,40,-9,"40,-9",1993-06-22
"17 km SE of Bouïra, Algeria",3.7,10.0,36.249,4.018,0,0,1993,6,10,11,36,4,"36,4",1993-06-10
"10 km ESE of Amou, France",3.6,10.0,43.564,-0.62,0,0,1993,6,7,7,43,-1,"43,-1",1993-06-07
"4 km ESE of Limoux, France",3.5,14.2,43.037,2.275,0,0,1993,6,6,1,43,2,"43,2",1993-06-06
"3 km S of Barbazan-Debat, France",3.5,10.0,43.168,0.119,0,0,1993,5,27,20,43,0,"43,0",1993-05-27
"4 km NNE of Pouzac, France",4.0,19.7,43.125,0.151,0,0,1993,5,27,6,43,0,"43,0",1993-05-27
"3 km NW of Yátova, Spain",3.5,10.0,39.404,-0.826,0,0,1993,5,25,7,39,-1,"39,-1",1993-05-25
"5 km ENE of Chlef, Algeria",3.6,10.0,36.189,1.392,0,0,1993,5,12,4,36,1,"36,1",1993-05-12
"9 km WSW of Tolox, Spain",3.7,27.9,36.667,-5.009,0,0,1993,4,23,1,36,-6,"36,-6",1993-04-23
"37 km SSE of Calp, Spain",3.5,27.9,38.359,0.278,0,0,1993,4,22,17,38,0,"38,0",1993-04-22
"76 km NNE of Al Hoceïma, Morocco",3.9,10.0,35.916,-3.719,0,0,1993,4,18,5,35,-4,"35,-4",1993-04-18
"74 km NNE of Al Hoceïma, Morocco",4.0,10.0,35.899,-3.734,0,0,1993,4,18,5,35,-4,"35,-4",1993-04-18
"9 km NNE of Alora, Spain",3.6,10.0,36.91,-4.683,0,0,1993,4,3,5,36,-5,"36,-5",1993-04-03
"4 km SE of Dílar, Spain",3.5,17.9,37.046,-3.563,0,0,1993,3,21,10,37,-4,"37,-4",1993-03-21
"14 km NW of Theniet el Had, Algeria",3.7,16.6,35.952,1.896,0,0,1993,3,7,3,35,1,"35,1",1993-03-07
"22 km NW of Theniet el Had, Algeria",3.8,10.0,36.01,1.845,0,0,1993,3,7,3,36,1,"36,1",1993-03-07
"40 km SSE of Sagres, Portugal",3.7,33.0,36.672,-8.78,0,0,1993,2,21,11,36,-9,"36,-9",1993-02-21
"44 km SSE of Sagres, Portugal",3.6,33.0,36.652,-8.716,0,0,1993,2,21,11,36,-9,"36,-9",1993-02-21
"49 km SSE of Senhora da Luz, Portugal",4.2,34.1,36.658,-8.575,0,0,1993,2,16,3,36,-9,"36,-9",1993-02-16
"17 km N of Tipasa, Algeria",3.7,10.0,36.748,2.479,0,0,1993,2,12,15,36,2,"36,2",1993-02-12
"16 km SSE of Roquetas de Mar, Spain",3.5,5.0,36.635,-2.532,0,0,1993,1,4,9,36,-3,"36,-3",1993-01-04
"7 km NE of Saintes-Maries-de-la-Mer, France",3.6,10.0,43.49,4.5,0,0,1993,1,1,21,43,4,"43,4",1993-01-01
"68 km N of Cariño, Spain",3.6,10.0,44.355,-7.934,0,0,1992,12,28,17,44,-8,"44,-8",1992-12-28
"2 km N of Carlet, Spain",3.6,10.6,39.248,-0.523,0,0,1992,12,8,19,39,-1,"39,-1",1992-12-08
"13 km S of Macedo de Cavaleiros, Portugal",4.1,33.0,41.416,-6.988,0,0,1992,10,25,23,41,-7,"41,-7",1992-10-25
"31 km NW of Beni Saf, Algeria",3.6,10.0,35.533,-1.585,0,0,1992,10,17,20,35,-2,"35,-2",1992-10-17
"61 km SSE of San José, Spain",3.6,10.0,36.268,-1.785,0,0,1992,9,24,0,36,-2,"36,-2",1992-09-24
"1 km N of Salvaleón, Spain",3.5,10.0,38.525,-6.783,0,0,1992,9,21,0,38,-7,"38,-7",1992-09-21
"13 km SE of Torremolinos, Spain",3.9,105.2,36.522,-4.416,0,0,1992,9,3,9,36,-5,"36,-5",1992-09-03
"66 km WNW of Sant Antoni de Portmany, Spain",3.5,10.0,39.287,0.642,0,0,1992,8,16,2,39,0,"39,0",1992-08-16
"4 km N of Arthez-de-Béarn, France",4.0,12.8,43.509,-0.609,0,0,1992,7,30,0,43,-1,"43,-1",1992-07-30
"3 km NW of Los Villares, Spain",3.5,10.0,37.711,-3.849,0,0,1992,7,6,13,37,-4,"37,-4",1992-07-06
"10 km S of Hagetmau, France",4.1,10.0,43.563,-0.578,0,0,1992,6,20,2,43,-1,"43,-1",1992-06-20
"12 km NNW of Oued Fodda, Algeria",3.6,10.0,36.292,1.503,0,0,1992,6,17,20,36,1,"36,1",1992-06-17
"6 km S of Algar, Spain",3.5,10.0,36.595,-5.663,0,0,1992,6,13,15,36,-6,"36,-6",1992-06-13
"4 km SE of Bosdarros, France",3.7,13.3,43.183,-0.325,0,0,1992,5,10,7,43,-1,"43,-1",1992-05-10
Spain,3.8,10.0,39.597,-2.451,0,0,1992,4,20,2,39,-3,"39,-3",1992-04-20
"3 km S of Nousty, France",3.5,5.0,43.233,-0.21,0,0,1992,4,18,20,43,-1,"43,-1",1992-04-18
"68 km S of La Herradura, Spain",3.7,20.9,36.123,-3.867,0,0,1992,4,10,1,36,-4,"36,-4",1992-04-10
"8 km WNW of Ventas de Huelma, Spain",3.5,33.0,37.094,-3.908,0,0,1992,4,2,0,37,-4,"37,-4",1992-04-02
"13 km ENE of Berrouaghia, Algeria",3.5,10.0,36.187,3.048,0,0,1992,3,21,2,36,3,"36,3",1992-03-21
"3 km SW of Campdevànol, Spain",4.5,10.0,42.205,2.134,0,0,1992,3,19,18,42,2,"42,2",1992-03-19
"1 km W of Rincón de la Victoria, Spain",3.7,60.0,36.715,-4.295,0,0,1992,3,14,8,36,-5,"36,-5",1992-03-14
"10 km WNW of Aïn el Bya, Algeria",4.0,10.0,35.855,-0.397,0,0,1992,2,26,11,35,-1,"35,-1",1992-02-26
"11 km N of Aïn el Bya, Algeria",4.0,10.0,35.904,-0.319,0,0,1992,2,26,10,35,-1,"35,-1",1992-02-26
"4 km NW of Arthez-de-Béarn, France",3.6,10.0,43.499,-0.648,0,0,1992,2,3,8,43,-1,"43,-1",1992-02-03
"8 km SW of Cuevas Bajas, Spain",3.6,10.0,37.178,-4.544,0,0,1992,1,29,7,37,-5,"37,-5",1992-01-29
"18 km S of Cehegín, Spain",3.5,10.0,37.926,-1.82,0,0,1992,1,28,0,37,-2,"37,-2",1992-01-28
"8 km E of El Abadia, Algeria",4.7,12.1,36.283,1.781,0,0,1992,1,19,20,36,1,"36,1",1992-01-19
"13 km S of Aïn Defla, Algeria",3.7,10.0,36.143,1.945,0,0,1992,1,19,12,36,1,"36,1",1992-01-19
"0 km S of Horgues, France",3.9,10.0,43.182,0.089,0,0,1992,1,18,11,43,0,"43,0",1992-01-18
"4 km E of Siete Aguas, Spain",3.5,10.0,39.461,-0.862,0,0,1991,12,21,5,39,-1,"39,-1",1991-12-21
"7 km NE of Caniles, Spain",3.7,10.0,37.481,-2.66,0,0,1991,12,19,14,37,-3,"37,-3",1991-12-19
"34 km SSE of Castelldefels, Spain",4.4,10.0,40.992,2.127,0,0,1991,12,15,11,40,2,"40,2",1991-12-15
"3 km NE of Gan, France",3.5,5.0,43.245,-0.356,0,0,1991,12,3,13,43,-1,"43,-1",1991-12-03
"117 km SSW of Sagres, Portugal",3.7,97.3,36.115,-9.643,0,0,1991,10,7,7,36,-10,"36,-10",1991-10-07
"10 km SE of Almansa, Spain",4.2,10.0,38.806,-1.008,0,0,1991,8,14,10,38,-2,"38,-2",1991-08-14
"3 km SE of Tavarede, Portugal",3.5,20.2,40.144,-8.815,0,0,1991,6,20,19,40,-9,"40,-9",1991-06-20
"2 km SE of Ossun, France",3.8,17.6,43.168,0.002,0,0,1991,6,13,4,43,0,"43,0",1991-06-13
"3 km NE of Martín de la Jara, Spain",3.5,5.0,37.128,-4.929,0,0,1991,6,9,16,37,-5,"37,-5",1991-06-09
"2 km SSW of Minaya, Spain",3.8,5.0,39.25,-2.335,0,0,1991,5,30,20,39,-3,"39,-3",1991-05-30
"6 km SW of Chirivel, Spain",4.0,10.0,37.562,-2.329,0,0,1991,5,7,0,37,-3,"37,-3",1991-05-07
"7 km SW of Chirivel, Spain",3.5,10.0,37.554,-2.338,0,0,1991,5,6,7,37,-3,"37,-3",1991-05-06
"5 km WNW of María, Spain",3.5,10.0,37.728,-2.227,0,0,1991,4,16,13,37,-3,"37,-3",1991-04-16
"2 km S of Mauléon-Licharre, France",4.2,25.4,43.2,-0.891,0,0,1991,4,1,23,43,-1,"43,-1",1991-04-01
"15 km WSW of Relizane, Algeria",4.0,10.0,35.662,0.417,0,0,1991,3,8,17,35,0,"35,0",1991-03-08
"5 km E of Larbaâ, Algeria",3.6,10.0,36.562,3.214,0,0,1991,2,4,23,36,3,"36,3",1991-02-04
"106 km N of ’Aïn Benian, Algeria",3.5,10.0,37.764,3.006,0,0,1991,2,3,23,37,3,"37,3",1991-02-03
"4 km E of Lobios, Spain",3.6,10.0,42.402,-7.476,0,0,1990,11,22,4,42,-8,"42,-8",1990-11-22
"9 km NNE of San Martín de Elines, Spain",3.7,10.0,42.91,-3.823,0,0,1990,11,14,20,42,-4,"42,-4",1990-11-14
"7 km NNE of Arthez-de-Béarn, France",3.5,10.0,43.522,-0.566,0,0,1990,11,10,4,43,-1,"43,-1",1990-11-10
"2 km SSW of Otura, Spain",4.0,22.5,37.068,-3.65,0,0,1990,11,7,7,37,-4,"37,-4",1990-11-07
"4 km NNW of Ogeu-les-Bains, France",4.1,10.0,43.187,-0.532,0,0,1990,11,2,21,43,-1,"43,-1",1990-11-02
"77 km SSW of Sagres, Portugal",3.6,16.5,36.349,-9.225,0,0,1990,11,1,3,36,-10,"36,-10",1990-11-01
"6 km ENE of Arthez-de-Béarn, France",4.1,10.0,43.491,-0.55,0,0,1990,10,31,6,43,-1,"43,-1",1990-10-31
"4 km SSE of Ossun, France",4.1,28.3,43.149,-0.006,0,0,1990,10,16,14,43,-1,"43,-1",1990-10-16
"9 km NNE of Arthez-de-Béarn, France",3.5,17.7,43.548,-0.583,0,0,1990,10,2,20,43,-1,"43,-1",1990-10-02
"68 km S of Fuengirola, Spain",4.0,110.8,35.932,-4.478,0,0,1990,9,28,2,35,-5,"35,-5",1990-09-28
"1 km N of Cehegín, Spain",3.7,10.0,38.107,-1.799,0,0,1990,9,17,0,38,-2,"38,-2",1990-09-17
"8 km N of Arthez-de-Béarn, France",3.5,10.0,43.538,-0.61,0,0,1990,9,4,19,43,-1,"43,-1",1990-09-04
"48 km S of Adra, Spain",4.0,10.0,36.323,-2.922,0,0,1990,8,15,16,36,-3,"36,-3",1990-08-15
"2 km E of Oloron-Sainte-Marie, France",3.5,14.0,43.192,-0.585,0,0,1990,8,13,19,43,-1,"43,-1",1990-08-13
"9 km N of Tipasa, Algeria",3.7,10.0,36.679,2.455,0,0,1990,8,9,18,36,2,"36,2",1990-08-09
"14 km SSW of Sort, Spain",3.6,9.9,42.291,1.067,0,0,1990,8,5,21,42,1,"42,1",1990-08-05
"3 km S of Souma, Algeria",3.5,10.0,36.489,2.912,0,0,1990,7,28,13,36,2,"36,2",1990-07-28
"6 km E of Kolea, Algeria",3.7,10.0,36.647,2.839,0,0,1990,7,26,18,36,2,"36,2",1990-07-26
"6 km NNW of Yesa, Spain",3.7,31.7,42.676,-1.229,0,0,1990,7,26,16,42,-2,"42,-2",1990-07-26
"1 km ESE of Oloron-Sainte-Marie, France",3.6,9.9,43.186,-0.591,0,0,1990,7,24,20,43,-1,"43,-1",1990-07-24
"2 km SW of Bosdarros, France",3.7,13.3,43.196,-0.385,0,0,1990,7,22,3,43,-1,"43,-1",1990-07-22
"4 km NNE of Jerez de la Frontera, Spain",3.7,10.0,36.722,-6.119,0,0,1990,7,18,19,36,-7,"36,-7",1990-07-18
"4 km NE of Berriobeiti, Spain",3.8,27.9,42.882,-1.665,0,0,1990,6,19,21,42,-2,"42,-2",1990-06-19
"1 km E of Gan, France",4.2,11.9,43.23,-0.367,0,0,1990,6,12,18,43,-1,"43,-1",1990-06-12
"33 km NNW of El Amria, Algeria",3.9,28.8,35.775,-1.22,0,0,1990,5,23,22,35,-2,"35,-2",1990-05-23
"69 km W of Gafanha da Encarnação, Portugal",3.5,10.0,40.728,-9.538,0,0,1990,5,10,19,40,-10,"40,-10",1990-05-10
"14 km ESE of Fuengirola, Spain",4.0,101.6,36.469,-4.483,0,0,1990,5,2,16,36,-5,"36,-5",1990-05-02
"9 km E of Tipasa, Algeria",3.6,10.0,36.604,2.551,0,0,1990,4,15,0,36,2,"36,2",1990-04-15
"43 km E of Martil, Morocco",4.2,86.3,35.624,-4.792,0,0,1990,4,13,22,35,-5,"35,-5",1990-04-13
"20 km NNE of Tipasa, Algeria",4.7,13.5,36.768,2.492,0,0,1990,4,12,22,36,2,"36,2",1990-04-12
"5 km W of Saint-Étienne-de-Baïgorry, France",3.8,28.9,43.18,-1.418,0,0,1990,4,1,19,43,-2,"43,-2",1990-04-01
"36 km SE of Altea, Spain",3.7,13.3,38.337,0.202,0,0,1990,3,29,3,38,0,"38,0",1990-03-29
"1 km WSW of Ledeuix, France",3.6,14.1,43.208,-0.641,0,0,1990,3,27,3,43,-1,"43,-1",1990-03-27
west of Gibraltar,3.6,99.8,36.402,-9.833,0,0,1990,3,23,3,36,-10,"36,-10",1990-03-23
"17 km N of São Brás de Alportel, Portugal",3.5,33.0,37.31,-7.924,0,0,1990,3,16,18,37,-8,"37,-8",1990-03-16
"11 km SW of Bou Ismaïl, Algeria",4.6,33.0,36.578,2.585,0,0,1990,3,11,8,36,2,"36,2",1990-03-11
"5 km NNW of Lentegí, Spain",4.1,625.4,36.885,-3.691,0,0,1990,3,8,1,36,-4,"36,-4",1990-03-08
"15 km NNE of Oronz, Spain",4.2,28.5,42.99,-1.016,0,0,1990,2,28,13,42,-2,"42,-2",1990-02-28
"2 km ENE of Abrigada, Portugal",3.6,10.0,39.155,-8.991,0,0,1990,2,18,19,39,-9,"39,-9",1990-02-18
"18 km NW of Bou Ismaïl, Algeria",4.1,10.0,36.739,2.528,0,0,1990,2,17,15,36,2,"36,2",1990-02-17
"2 km NNE of Montaut, France",3.7,10.0,43.148,-0.192,0,0,1990,2,11,20,43,-1,"43,-1",1990-02-11
"23 km NNE of Tipasa, Algeria",4.2,10.0,36.794,2.5,0,0,1990,2,9,13,36,2,"36,2",1990-02-09
"13 km N of Tipasa, Algeria",4.1,10.0,36.713,2.477,0,0,1990,2,9,13,36,2,"36,2",1990-02-09
"9 km W of Bou Ismaïl, Algeria",3.9,10.0,36.64,2.581,0,0,1990,2,9,11,36,2,"36,2",1990-02-09
"13 km NNE of Tipasa, Algeria",4.3,10.0,36.699,2.5,0,0,1990,2,9,11,36,2,"36,2",1990-02-09
"20 km N of Tipasa, Algeria",5.2,12.4,36.775,2.477,0,0,1990,2,9,9,36,2,"36,2",1990-02-09
"18 km NW of Bou Ismaïl, Algeria",4.3,10.0,36.749,2.534,0,0,1990,2,5,7,36,2,"36,2",1990-02-05
"17 km S of Aïn Defla, Algeria",3.8,10.0,36.106,1.94,0,0,1990,2,4,16,36,1,"36,1",1990-02-04
northern Algeria,3.6,10.0,36.451,2.589,0,0,1990,1,28,4,36,2,"36,2",1990-01-28
"11 km ESE of Ammi Moussa, Algeria",3.7,10.0,35.817,1.227,0,0,1990,1,7,16,35,1,"35,1",1990-01-07
